brand,price,reference,title
https://www.tunisianet.com.tn/29_dell,"275,000 DT",[E2216HV],"Ecran Dell 21.5"" Full HD E2216HV"
https://www.tunisianet.com.tn/291_philips,"277,000 DT",[223V5LSB2-10],"Ecran Philips LED Full HD 21.5"""
https://www.tunisianet.com.tn/13_acer,"279,000 DT",[UM.WV6EE.B17],"Ecran Acer 21.5"" Full HD V226HQL"
https://www.tunisianet.com.tn/6_hp,"279,000 DT",[M1F41AS-3Y],"Ecran HP EliteDisplay E202 20"" HD+"
https://www.tunisianet.com.tn/3_lenovo,"289,000 DT",[65E4KAC6EU-3A],"Ecran Lenovo D22-10 / 21.5"" Full HD"
https://www.tunisianet.com.tn/6_hp,"289,000 DT",[1FR84AS],"Écran HP V214a 20.7"" Full HD"
https://www.tunisianet.com.tn/12_samsung,"289,000 DT",[LS22F350FH],"Ecran Samsung 21.5"" Full HD"
https://www.tunisianet.com.tn/92_intel,"315,000 DT",[BLKDE3815TYBE],Mini PC à carte unique Intel NUC BLKDE3815TYBE
https://www.tunisianet.com.tn/29_dell,"315,000 DT",[E2221HN],"Ecran Dell 22"" Full HD E2221HN"
https://www.tunisianet.com.tn/3_lenovo,"319,000 DT",[62A4MAT4EU-3Y],"Ecran Lenovo ThinkVision E22-20 21.5"" WLED FHD 62A4MAT4EU"
https://www.tunisianet.com.tn/29_dell,"339,000 DT",[SE2219H],"Ecran Dell 21.5"" Full HD IPS / SE2219H"
https://www.tunisianet.com.tn/439_hikvision,"349,000 DT",[DS-D5024FN],"Ecran Pro 24/7 Hikvision 24"" FHD DS-D5024FN"
https://www.tunisianet.com.tn/12_samsung,"375,000 DT",[LS24F350FH],"Ecran Samsung 23.5"" LED Full HD"
https://www.tunisianet.com.tn/13_acer,"379,000 DT",[UM.FV6EE.026],"Ecran Acer 24"" Full HD FV6EE"
https://www.tunisianet.com.tn/874_swatch,"290,000 DT",[S027M101],Montre Pour Homme Swatch BBBEAUTY SO27M101
https://www.tunisianet.com.tn/874_swatch,"290,000 DT",[S027M102],Montre Pour Homme Swatch BBBLANCO SO27M102
https://www.tunisianet.com.tn/874_swatch,"290,000 DT",[S027B100],Montre Pour Homme Swatch BBBLACK SO27B100
https://www.tunisianet.com.tn/874_swatch,"290,000 DT",[S027N103],Montre Mixte Swatch BBCANDY SO27N103
https://www.tunisianet.com.tn/874_swatch,"310,000 DT",[YSS213G],Montre Pour Femme Swatch DEEP STONES YSS213G
https://www.tunisianet.com.tn/874_swatch,"310,000 DT",[YSS317G],Montre Pour Femme Swatch INSPIRANCE YSS317G
https://www.tunisianet.com.tn/874_swatch,"320,000 DT",[S027B112],Montre Pour homme Swatch Fire taste S027B112
https://www.tunisianet.com.tn/874_swatch,"320,000 DT",[S027B114],Montre Pour Homme Swatch Light taste S027B114
https://www.tunisianet.com.tn/874_swatch,"325,000 DT",[YSS332G],Montre Pour Femme Swatch SILVER HUG YSS332G
https://www.tunisianet.com.tn/874_swatch,"330,000 DT",[SUSS402],Montre Pour Homme Swatch BLUE TIRE SUSS402
https://www.tunisianet.com.tn/874_swatch,"330,000 DT",[SUSJ402],Montre Pour femme Swatch YEL-LOL SUSJ402
https://www.tunisianet.com.tn/874_swatch,"339,000 DT",[S027B115],Montre Pour Homme Swatch Dark taste S027B115
https://www.tunisianet.com.tn/874_swatch,"345,000 DT",[YSS308G],Montre Pour Femme Swatch MINIMIX YSS308G
https://www.tunisianet.com.tn/874_swatch,"345,000 DT",[SFK240B],Montre Pour femme Swatch TRI-GOLD SFK240B / Small
https://www.tunisianet.com.tn/874_swatch,"345,000 DT",[YSS234G],Montre Pour Femme Swatch LADY PASSION YSS234G
https://www.tunisianet.com.tn/874_swatch,"345,000 DT",[YLS189G],Montre Pour Femme Swatch SIGNORALIA YLS189G
https://www.tunisianet.com.tn/874_swatch,"345,000 DT",[YLS197G],Montre Pour Femme Swatch PUNTAGIALLA YLS197G
https://www.tunisianet.com.tn/874_swatch,"345,000 DT",[SFK240A],Montre Pour femme Swatch TRI-GOLD SFK240A / Large
https://www.tunisianet.com.tn/874_swatch,"345,000 DT",[YLS216],Montre Pour Femme Swatch LOVELY LILAC YLS216
https://www.tunisianet.com.tn/874_swatch,"345,000 DT",[YLS217],Montre Pour Femme Swatch STARRY PARTY YLS217
https://www.tunisianet.com.tn/874_swatch,"345,000 DT",[YLS220],Montre pour femme Swatch Rose Sparkle YLS220
https://www.tunisianet.com.tn/874_swatch,"360,000 DT",[SFK389GA],Montre Pour femme Swatch INCANTATA SFK389GA / Large
https://www.tunisianet.com.tn/874_swatch,"360,000 DT",[YLS455G],Montre Pour Femme Swatch PINKAROUND YLS455G
https://www.tunisianet.com.tn/874_swatch,"389,000 DT",[YSG166M],Montre pour Femme Festina LUMINESCENT ROSE YSG166M
https://www.tunisianet.com.tn/3_lenovo,"389,000 DT",[62A8KAT1EU-3Y],"Ecran Lenovo C24-20 / 23.8"" Full HD"
https://www.tunisianet.com.tn/9_lg,"389,000 DT",[24MK400H],"Ecran LG 24"" LED TN 24MK400H / 75 Hz"
https://www.tunisianet.com.tn/29_dell,"395,000 DT",[E2318H],"Écran Dell 23"" Full HD E2318H"
https://www.tunisianet.com.tn/657_benq,"399,000 DT",[GW2475H],"Ecran BenQ 23.8"" Full HD GW2475H"
https://www.tunisianet.com.tn/657_benq,"399,000 DT",[BL2483],"Ecran Gaming BenQ 24"" LED FHD BL2483"
https://www.tunisianet.com.tn/12_samsung,"419,000 DT",[LC24F390],"Ecran Samsung 24"" Full HD Incurvée"
https://www.tunisianet.com.tn/6_hp,"429,000 DT",[2XN60AA],"Ecran HP 24f 24"" LED Full HD IPS"
https://www.tunisianet.com.tn/6_hp,"429,000 DT",[2XN58AA],"Ecran HP 22f 21.5"" LED Full HD IPS"
https://www.tunisianet.com.tn/3_lenovo,"429,000 DT",[65DFKAC1EU-3Y],"Ecran Lenovo L24e-20 / 23.8"" Full HD"
https://www.tunisianet.com.tn/6_hp,"449,000 DT",[M1N96AS],"Ecran HP EliteDisplay E222 22"" Full HD"
https://www.tunisianet.com.tn/792_iiyama,"459,000 DT",[E2483HS-B5],"Ecran 24"" Full HD LED iiyama ProLite E2483HS-B5 / 75 Hz / Noir"
https://www.tunisianet.com.tn/79_asus,"459,000 DT",[90LM01L0-B05170],"Ecran Asus VP247HAE 23.6"" Full HD / 60 Hz"
https://www.tunisianet.com.tn/792_iiyama,"469,000 DT",[G253HSU-B1],"Ecran Gaming 24.5"" Full HD LED iiyama G-MASTER G253HSU-B1 / Noir"
https://www.tunisianet.com.tn/6_hp,"499,000 DT",[4TB29AA],"Écran HP 24fw 24"" Full HD IPS LED"
https://www.tunisianet.com.tn/29_dell,"499,000 DT",[P2419H],"Ecran Dell 24"" Pivotant IPS Full HD P2419H"
https://www.tunisianet.com.tn/439_hikvision,"499,000 DT",[DS-D5027FN],"Ecran Pro Hikvision 27"" FHD DS-D5027FN"
https://www.tunisianet.com.tn/29_dell,"509,000 DT",[SE2417HG],"Ecran Dell 24"" Gaming LED Full HD"
https://www.tunisianet.com.tn/12_samsung,"529,000 DT",[LS27F350H],"Ecran Samsung 27"" Full HD"
https://www.tunisianet.com.tn/29_dell,"535,000 DT",[SE2719HR],"Ecran Dell 27"" Full HD IPS / SE2719HR"
https://www.tunisianet.com.tn/6_hp,"539,000 DT",[1FH45AS],"Ecran HP EliteDisplay E223 21.5"" Full HD LED"
https://www.tunisianet.com.tn/6_hp,"545,000 DT",[3WL48AA],"Ecran Gaming HP 27m 27"" FHD 3WL48AA / 60 Hz"
https://www.tunisianet.com.tn/261_dahua,"575,000 DT",[LM27-F211],"Écran Dahua Pro 24h/7 LM24-F211 27"" Full HD"
https://www.tunisianet.com.tn/29_dell,"579,000 DT",[S2721HN],"Ecran Dell 27"" Full HD S2721HN"
https://www.tunisianet.com.tn/12_samsung,"589,000 DT",[LC27F390],"Ecran Samsung 27"" Full HD Incurvée"
https://www.tunisianet.com.tn/522_clever,"35,000 DT",[C2-RD],Téléphone Portable Clever C2 / Double SIM / Rouge
https://www.tunisianet.com.tn/806_itel-mobile,"37,000 DT",[ITEL-2173-BK],Téléphone portable Itel IT2173 / Noir
https://www.tunisianet.com.tn/806_itel-mobile,"37,000 DT",[ITEL-2173-DB],Téléphone portable Itel IT2173 / Bleu
https://www.tunisianet.com.tn/806_itel-mobile,"37,000 DT",[ITEL-2160-DB],Téléphone Portable  ITEL 2160 / Double SIM / Bleu
https://www.tunisianet.com.tn/806_itel-mobile,"37,000 DT",[ITEL-2160-BK],Téléphone Portable  ITEL 2160 / Double SIM / Noir
https://www.tunisianet.com.tn/522_clever,"39,000 DT",[CLEVER-C3-BL],Téléphone Portable Clever C3 / Double SIM / Bleu
https://www.tunisianet.com.tn/522_clever,"39,000 DT",[CLEVER-C3-RD],Téléphone Portable Clever C3 / Double SIM / Rouge
https://www.tunisianet.com.tn/522_clever,"39,000 DT",[CLEVER-C3-WH],Téléphone Portable Clever C3 / Double SIM / Blanc
https://www.tunisianet.com.tn/846_ipro,"39,000 DT",[IPRO-A21MINI-RD],Téléphone Portable IPRO A21 Mini / Double SIM / Rouge
https://www.tunisianet.com.tn/846_ipro,"39,000 DT",[IPRO-A21MINI-OR],Téléphone Portable IPRO A21 Mini / Double SIM / Orangé
https://www.tunisianet.com.tn/846_ipro,"39,000 DT",[IPRO-A21MINI-BL],Téléphone Portable IPRO A21 Mini / Double SIM / Bleu
https://www.tunisianet.com.tn/292_iku,"42,900 DT",[F105-BL],Téléphone Portable Iku F105 / Double SIM / Noir & Bleu
https://www.tunisianet.com.tn/292_iku,"42,900 DT",[F105-RD],Téléphone Portable Iku F105 / Double SIM / Noir & Rouge
https://www.tunisianet.com.tn/292_iku,"42,900 DT",[F105-YL],Téléphone Portable Iku F105 / Double SIM / Noir & Jaune
https://www.tunisianet.com.tn/292_iku,"42,900 DT",[F105-GR],Téléphone Portable Iku F105 / Double SIM / Noir & Gris
https://www.tunisianet.com.tn/292_iku,"42,900 DT",[F105-BK],Téléphone Portable Iku F105 / Double SIM / Noir
https://www.tunisianet.com.tn/292_iku,"49,000 DT",[F40-RD],Téléphone Portable Iku F40 / Double SIM / Rouge
https://www.tunisianet.com.tn/806_itel-mobile,"49,000 DT",[ITEL-5081-DB],Téléphone portable Itel IT5081 / Bleu
https://www.tunisianet.com.tn/806_itel-mobile,"49,000 DT",[ITEL-5081-BK],Téléphone portable Itel IT5081 / Noir
https://www.tunisianet.com.tn/763_swisstone,"55,000 DT",[SC1550-RD],Téléphone Portable SwissTone SC1550 / Double SIM / Rouge
https://www.tunisianet.com.tn/846_ipro,"69,900 DT",[IPRO-A28-BK],Téléphone Portable LPRO A28 / Double SIM / Noir
https://www.tunisianet.com.tn/846_ipro,"69,900 DT",[IPRO-A28-BKBL],Téléphone Portable LPRO A28 / Double SIM / Noir & Bleu
https://www.tunisianet.com.tn/846_ipro,"69,900 DT",[IPRO-A28-BKRD],Téléphone Portable LPRO A28 / Double SIM / Noir & Rouge
https://www.tunisianet.com.tn/152_evertek,"89,900 DT",[EVER-PASITO-WH],Téléphone Portable Evertek Pasito / Double SIM / Blanc
https://www.tunisianet.com.tn/17_noname,"0,600 DT",[PATTE],Pate thérmique Grise
https://www.tunisianet.com.tn/17_noname,"0,700 DT",[ETI_QUETTE],Etiquette Clavier Arabe / Noir
https://www.tunisianet.com.tn/17_noname,"1,000 DT",[ETI-WHITE],Etiquette Clavier Arabe / Blanc
https://www.tunisianet.com.tn/17_noname,"1,000 DT",[BNC],Connecteur BNC
