brand,category,country,currency,description,domain,image,price,pricestring,reference,subcategory,timestamp,title,url
764_doro,Téléphone Portable,TN,TND,- Réseau 2G - Caméra: ,tunisianet.com.tn,https://www.tunisianet.com.tn/200321-home/telephone-portable-doro-1067f-double-sim-noir.jpg,"37,500","37,500 DT",1067F-BK,Téléphone Portable,2021-05-01 00:00:37.371307,Téléphone Portable DORO 1067F / Double SIM / Noir,https://www.tunisianet.com.tn/telephone-portable-tunisie/49122-telephone-portable-doro-1067f-double-sim-noir.html
746_upset,Onduleur,TN,TND,Onduleur In-Line UPSET MA 650 - Puissance 650VA / 390 W - Dimensions: 308 x 98 x 170 mm - 2x Prise Schuko + - Autonomie 10 Minutes - 1x Batteries 12V / 7Ah - Niveau Sonore < 40 dBA - Fréquence 50 / 60 Hz ± 10% - Garantie 2 ans (Batterie 1 an),tunisianet.com.tn,https://www.tunisianet.com.tn/130267-home/onduleur-in-line-upset-ma-650.jpg,"149,000","149,000 DT",MA650VA,Onduleur,2021-05-01 00:00:37.839296,Onduleur In-Line UPSET MA 650,https://www.tunisianet.com.tn/onduleur/35849-onduleur-in-line-upset-ma-650.html
874_swatch,Swatch,TN,TND,Montre Swatch CASUAL GREEN LK397 Pour Femme - Fonctions: Date & Heure ,tunisianet.com.tn,https://www.tunisianet.com.tn/179564-home/montre-pour-femme-swatch-ortrud-lb186.jpg,"189,000","189,000 DT",LB186,Swatch,2021-05-01 00:00:37.938998,Montre Pour femme Swatch ORTRUD LB186,https://www.tunisianet.com.tn/swatch/44631-montre-pour-femme-swatch-ortrud-lb186.html
29_dell,Serveur informatique,TN,TND,"Processeur Intel Xeon Quad Core E-2224G, 3.5 Ghz, 8 Mo de mémoire cache - Mémoire 8 Go DDR4 UDIMM, 2400 MT - Disque SATA 1 To, 7200 Rpm - Graveur DVD - Garantie 1 an",tunisianet.com.tn,https://www.tunisianet.com.tn/155233-home/serveur-dell-poweredge-t40.jpg,"1 789,000","1 789,000 DT",PET40,Serveur informatique,2021-05-01 00:00:38.043874,Serveur Dell PowerEdge T40,https://www.tunisianet.com.tn/serveur-informatique-tunisie/40519-serveur-dell-poweredge-t40.html
17_noname,Composant  Informatique,TN,TND,Pate thérmique Grise,tunisianet.com.tn,https://www.tunisianet.com.tn/22765-home/pate-thermique-grise.jpg,"0,600","0,600 DT",PATTE,Composant  Informatique,2021-05-01 00:00:38.182545,Pate thérmique Grise,https://www.tunisianet.com.tn/divers/8106-pate-thermique-grise.html
388_kasper,Logiciels,TN,TND,"Antivirus Bitdefender Internet Security - Licence 1 Poste - Durée 1 an - Protège contre les virus, les logiciels espions, le phishing et les sites Web dangereux - Sécurise votre ordinateur sans le ralentir - S’installe et se configure facilement - Préserve la confidentialité de vos activités en ligne et de votre identité - Protection bancaire - Contrôle parental - Compatible avec PC, Mac et appareils mobiles",tunisianet.com.tn,https://www.tunisianet.com.tn/184364-home/kaspersky-internet-security-2020-1-an-3-postes.jpg,"91,500","91,500 DT",KL19398BCFS-20SLIM,Logiciels,2021-05-01 00:00:38.237707,Kaspersky Internet Security 2020 - 1 an / 3 postes,https://www.tunisianet.com.tn/logiciel-antivirus-tunisie/45854-kaspersky-internet-security-2020-1-an-3-postes.html
3_lenovo,Ordinateur Portable,TN,TND,"Ecran 14.1"" HD LED - Processeur Intel Atom Quad Core Z8350, up to 1.92 Ghz, 2 Mo de cache - RAM 4 Go - Stockage 64 Go - Carte graphique Intel HD Graphic - Windows 10 - USB 2.0 - HDMI - Lecteur de Cartes - WebCam 0.3MP - Couleur: Silver - Garantie: 1 an",tunisianet.com.tn,https://www.tunisianet.com.tn/191472-home/pc-portable-lenovo-ideapad-330-15igm-dual-core-4-go-noir.jpg,"789,000","789,000 DT",81D100B3FG,Ordinateur Portable,2021-05-01 00:00:38.289399,Pc Portable Lenovo IdeaPad 330-15IGM / Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/47451-pc-portable-lenovo-ideapad-330-15igm-dual-core-4-go-noir.html
559_s-link,Accessoires et Périphériques,TN,TND,Connecteur BNC,tunisianet.com.tn,https://www.tunisianet.com.tn/75776-home/mini-lecteur-de-cartes-usb-s-link-cr40.jpg,"1,600","1,600 DT",SL-CR40,Accessoires et Périphériques,2021-05-01 00:00:38.320239,Mini Lecteur de cartes USB S-link CR40,https://www.tunisianet.com.tn/lecteur-de-cartes-hub-usb/25520-mini-lecteur-de-cartes-usb-s-link-cr40.html
13_acer,Ordinateur de Bureau,TN,TND,"Ecran Dell 18.5"" HD - Résolution 1366 ",tunisianet.com.tn,https://www.tunisianet.com.tn/166577-home/ecran-acer-215-full-hd-v226hql.jpg,"269,000","269,000 DT",UM.WV6EE.B17,Ordinateur de Bureau,2021-05-01 00:00:38.348807,"Ecran Acer 21.5"" Full HD V226HQL",https://www.tunisianet.com.tn/ecran-pc-tunisie/42458-ecran-acer-215-full-hd-v226hql.html
861_ibrit,Téléphone Portable,TN,TND,- Réseau 2G - Caméra: ,tunisianet.com.tn,https://www.tunisianet.com.tn/191638-home/telephone-portable-ibrit-jazz-2-double-sim-noir-et-orange.jpg,"39,000","39,000 DT",IBRIT-JAZZ-OR,Téléphone Portable,2021-05-01 00:00:38.381718,Téléphone Portable Ibrit Jazz 2 - Double SIM - Noir et Orangé,https://www.tunisianet.com.tn/telephone-portable-tunisie/47503-telephone-portable-ibrit-jazz-2-double-sim-noir-et-orange.html
